a52dec 0.7.4-9
acl 2.2.52-4
adwaita-icon-theme 3.26.0-1
aic94xx-firmware 30-9
alsa-lib 1.1.5-1
alsa-plugins 1.1.4-1
android-studio 3.0.0.18-1
android-tools 8.0.0_r17-1
android-udev 20171031-1
appstream-glib 0.7.4-1
archlinux-appstream-data 20171017-1
archlinux-keyring 20171020-1
arduino 1:1.8.5-1
arduino-avr-core 1.6.20-1
arduino-builder 1.3.25-3
arduino-ctags 5.8_arduino11-2
arduino-docs 1.6.6-4
asciidoc 8.6.9-3
aspell 0.60.6.1-5
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
attr 2.4.47-3
audacity 2.2.0-1
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7-1
avr-binutils 2.29.1-1
avr-gcc 7.2.0-1
avr-libc 2.0.0-1
avrdude 1:6.3-3
babl 0.1.30-1
bash 4.4.012-2
bash-completion 2.7-2
bc 1.07.1-1
binutils 2.29.1-1
bison 3.0.4-3
blas 3.8.0-1
blueman 2.0.5-1
bluez 5.47-2
bluez-libs 5.47-2
bluez-tools 0.2.0-1
bluez-utils 5.47-2
boost-libs 1.65.1-2
btrfs-progs 4.13-1
bubblewrap 0.2.0-1
bzip2 1.0.6-6
bzr 2.7.0-2
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.34-1
ca-certificates-utils 20170307-1
cairo 1.15.8-2
cairomm 1.12.2-2
cantarell-fonts 1:0.0.25-3
cblas 3.8.0-1
cdparanoia 10.2-5
celt 0.11.3-3
chromaprint 1.4.2-1
clucene 2.3.3.4-9
clutter 1.26.2-1
clutter-gtk 1.8.4-1
cmake 3.9.6-1
cmus 2.7.1-8
cogl 1.22.2+10+g3baa2d7a-1
colord 1.4.1-1
compositeproto 0.4.2-3
compton-git 0.1_beta2.87.g316eac0-1
confuse 3.2.1-1
coreutils 8.28-1
cpio 2.12-3
cpupower 4.13-1
cracklib 2.9.6-1
cryptsetup 1.7.5-2
cups 2.2.6-1
cups-filters 1.17.9-3
curl 7.56.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.12.2-1
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.1-1
desktop-file-utils 0.23-1
device-mapper 2.02.176-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.6-1
djvulibre 3.5.27-3
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnsmasq 2.78-1
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-4
dosfstools 4.1-1
double-conversion 3.0.0-1
dri2proto 2.8-2
dri3proto 1.0-1
dtrx 7.1-3
e2fsprogs 1.43.7-1
efivar 31-1
elfutils 0.170-1
enca 1.19-1
enchant 1.6.1-2
evince 3.26.0+14+g2a499547-1
exempi 2.4.3+2+g65a8492-1
exo 0.11.5-1
expat 2.2.4-1
faac 1.29.7.7-1
faad2 2.8.5-1
fakeroot 1.22-1
ffmpeg 1:3.4-4
ffmpeg2.8 2.8.13-2
fftw 3.3.7-1
file 5.32-1
file-roller 3.26.2-1
filesystem 2017.03-2
filezilla 3.29.0-1
findutils 4.6.0-2
firefox 57.0-2
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flatpak 0.10.0-1
flatpak-builder 0.10.4-1
flex 2.6.4-1
fltk 1.3.4-1
fontconfig 2.12.6+5+g665584a-1
fontsproto 2.1.3-2
freetype2 2.8.1-1
fribidi 0.19.7-1
fritzing 0.9.3b-4
fuse-common 3.2.0-1
fuse2 2.9.7-4
fwupd 1.0.1-1
fwupdate 9-3
galculator 2.1.4-3
garcon 0.6.1-1
gawk 4.1.4-2
gc 7.6.0-1
gcab 0.7+16+g4bc4be1-1
gcc-libs-multilib 7.2.0-3
gcc-multilib 7.2.0-3
gconf 3.2.6-5
gcr 3.20.0+55+g470bf4c-1
gd 2.2.5-1
gdbm 1.13-1
gdk-pixbuf2 2.36.11-1
gegl02 0.2.0-7
geoclue2 2.4.7-1
geocode-glib 3.25.4.1-1
geoip 1.6.11-1
geoip-database 20171107-1
gettext 0.19.8.1-2
ghostscript 9.22-1
giflib 5.1.4-1
gimp 2.8.22-1
git 2.15.0-1
gksu 2.0.2-6
glew 2.1.0-1
glib-networking 2.54.1-1
glib2 2.54.2-2
glibc 2.26-6
glibmm 2.54.1-1
glproto 1.4.17-1
glu 9.0.0-4
gmime 2.6.23+4+g91dcee38-1
gmime3 3.0.3-1
gmp 6.1.2-1
gnome-bluetooth 3.26.0+1+g3875844-1
gnome-desktop 1:3.26.2-1
gnome-icon-theme 3.12.0-4
gnome-icon-theme-symbolic 3.12.0-4
gnome-online-accounts 3.26.1-1
gnome-settings-daemon 3.26.2-1
gnome-software 3.26.3-1
gnome-themes-standard 3.22.3+13+ga993fdc0-1
gnupg 2.2.2-1
gnutls 3.5.16-1
go 2:1.9.2-2
gobject-introspection-runtime 1.54.1-1
gom 0.3.3-1
google-chrome 62.0.3202.94-1
gparted 0.30.0-3
gpgme 1.9.0-3
gpm 1.20.7-8
gptfdisk 1.0.3-1
graphene 1.6.0-1
graphite 1:1.3.10-1
grep 3.1-1
grilo 0.3.4-1
grilo-plugins 0.3.5-1
groff 1.22.3-7
gsettings-desktop-schemas 3.24.1+3+ge869987-1
gsfonts 20170829-1
gsm 1.0.17-1
gst-plugins-bad 1.12.3-1
gst-plugins-base 1.12.3-1
gst-plugins-base-libs 1.12.3-1
gstreamer 1.12.3-1
gthumb 3.6.0-1
gtk-update-icon-cache 3.22.26-1
gtk-xfce-engine 2.10.1-1
gtk2 2.24.31-1
gtk3 3.22.26-1
gtk3-print-backends 3.22.26-1
gtkmm 2.24.5-2
gtkmm3 3.22.2+2+g3002ed86-1
gtksourceview2 2.10.5-3
gtksourceview3 3.24.5-1
gtkspell 2.0.16-5
gtkspell3 3.0.9-1
guile 2.2.2-1
gummi 1:0.6.6-2
gvfs 1.34.1-1
gzip 1.8-2
harfbuzz 1.7.1-1
harfbuzz-icu 1.7.1-1
hdf5 1.10.1-1
hdparm 9.52-1
hicolor-icon-theme 0.17-1
hspell 1.3-1
hunspell 1.6.2-1
hwids 20170715-1
hyphen 2.8.8-1
i2c-tools 4.0-1
iana-etc 20170824-1
icu 60.1-1
ijs 0.35-1
ilmbase 2.2.0-2
imagemagick 6.9.9.23-1
inetutils 1.9.4-5
inputproto 2.3.2-1
intel-ucode 20171117-1
intltool 0.51.0-3
iotop 0.6-5
iproute2 4.14.1-2
iptables 1.6.1-1
iputils 20161105.1f2bb12-2
iso-codes 3.76-1
iw 4.9-1
jack 0.125.0-3
jansson 2.10-2
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.13-1
jdk8-openjdk 8.u144-1
jfsutils 1.1.15-4
jre8-openjdk 8.u144-1
jre8-openjdk-headless 8.u144-1
js 24.2.0-4
json-glib 1.4.2-1
jsoncpp 1.8.1-1
kbd 2.0.4-1
kbproto 1.0.7-1
keyutils 1.5.10-1
kmod 24-1
krb5 1.15.2-1
ladspa 1.13-6
lame 3.100-1
lapack 3.8.0-1
lcms 1.19-5
lcms2 2.8-2
ldns 1.7.0-4
leafpad 0.8.18.1-7
less 487-1
lib32-alsa-lib 1.1.4.1-1
lib32-atk 2.26.1-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-2
lib32-cairo 1.15.8-1
lib32-dbus 1.12.2-1
lib32-e2fsprogs 1.43.7-1
lib32-expat 2.2.2-1
lib32-flac 1.3.2-1
lib32-fontconfig 2.12.6+5+g665584a-1
lib32-freetype2 2.8.1-1
lib32-gcc-libs 7.2.0-3
lib32-gdk-pixbuf2 2.36.6-1
lib32-glib2 2.54.2-2
lib32-glibc 2.26-2
lib32-gmp 6.1.2-1
lib32-gnutls 3.5.13-1
lib32-gtk2 2.24.31-1
lib32-harfbuzz 1.7.1-1
lib32-icu 60.1-1
lib32-keyutils 1.5.10-1
lib32-krb5 1.15.2-1
lib32-lcms2 2.8-1
lib32-libasyncns 0.8+3+g68cd5af-1
lib32-libcap 2.25-1
lib32-libcups 2.2.4-2
lib32-libdatrie 0.2.10-1
lib32-libdrm 2.4.88-1
lib32-libelf 0.170-1
lib32-libffi 3.2.1-1
lib32-libgcrypt 1.8.1-1
lib32-libglvnd 1.0.0-1
lib32-libgpg-error 1.27-1
lib32-libice 1.0.9-1
lib32-libidn 1.33-1
lib32-libjpeg-turbo 1.5.2-1
lib32-libjpeg6-turbo 1.5.2-1
lib32-libldap 2.4.44-2
lib32-libmng 2.0.3-1
lib32-libogg 1.3.3-2
lib32-libpciaccess 0.13.5-1
lib32-libpng 1.6.34-1
lib32-libpng12 1.2.57-1
lib32-libpulse 11.1-1
lib32-libsm 1.2.2-2
lib32-libsndfile 1.0.28-1
lib32-libtasn1 4.12-1
lib32-libthai 0.1.26-1
lib32-libtiff 4.0.8-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libvorbis 1.3.5-1
lib32-libx11 1.6.5-1
lib32-libxau 1.0.8-2
lib32-libxcb 1.12-2
lib32-libxcomposite 0.4.4-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-2
lib32-libxdmcp 1.1.2-1
lib32-libxext 1.3.3-1
